"spp","MeanTL","SDTL","n"
"CYDIA_FOLCAT",1.920824703,0.074433623,1000
"MAMANE_NAIO",1.000004483,0.081059227,1000
"INSECT_SPIDER",2.079188746,0.134080366,1000
