Description: Standardized Precipitation Evapotranspiration Index (SPEI) at timescales between 1 and 48 months. Each column is a time series of monthly SPEI values starting on January 1901. Units: standard (Z) scores, i.e. normally distributed values with mean 0 and unit standard deviation. Missing value: NA. Not a number: nan. Version: 2.5 - July 2017. Comment: Using Penman equation for ET. Creators: Santiago Beguería - santiago.begueria_add_the_at_symbol_csic.es and Sergio Vicente-Serrano - svicen_add_the_at_symbol_ipe.csic.es.
SPEI01,SPEI02,SPEI03,SPEI04,SPEI05,SPEI06,SPEI07,SPEI08,SPEI09,SPEI10,SPEI11,SPEI12,SPEI13,SPEI14,SPEI15,SPEI16,SPEI17,SPEI18,SPEI19,SPEI20,SPEI21,SPEI22,SPEI23,SPEI24,SPEI25,SPEI26,SPEI27,SPEI28,SPEI29,SPEI30,SPEI31,SPEI32,SPEI33,SPEI34,SPEI35,SPEI36,SPEI37,SPEI38,SPEI39,SPEI40,SPEI41,SPEI42,SPEI43,SPEI44,SPEI45,SPEI46,SPEI47,SPEI48
1.04377,0.55713,0.7094,1.47403,0.99243,1.13838,1.30581,1.37429,1.29676,1.14138,0.98723,0.83617,0.63573,0.53949,0.64153,0.58751,0.51373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.13,0.76263,0.46639,0.64118,1.41992,0.95532,1.10832,1.27676,1.34543,1.26991,1.1176,0.96355,0.81278,0.61406,0.51649,0.61918,0.57144,0.49913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.65337,0.42094,0.7838,0.54076,0.70393,1.42136,0.99531,1.14135,1.30248,1.3681,1.29356,1.14157,0.99288,0.84595,0.6524,0.5565,0.65284,0.6082,0.53031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.552,1.39769,1.2125,1.29037,1.05118,1.09182,1.62079,1.26576,1.38941,1.51459,1.56645,1.51066,1.37522,1.24463,1.12089,0.94512,0.84371,0.90843,0.86623,0.76964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.09347,1.56162,1.4624,1.29731,1.34218,1.14303,1.1736,1.67384,1.34247,1.46944,1.57907,1.63157,1.57864,1.43927,1.31541,1.19754,1.03173,0.92977,0.98964,0.95056,0.84841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.25932,0.83241,1.44578,1.37306,1.22919,1.28956,1.10615,1.14925,1.66139,1.34313,1.47436,1.58357,1.63859,1.58946,1.44344,1.32103,1.19987,1.03358,0.92941,0.98693,0.94635,0.84364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.75151,0.62974,0.96423,1.48435,1.45645,1.32026,1.37903,1.21348,1.24188,1.71907,1.40138,1.52024,1.6195,1.66765,1.6249,1.49676,1.37916,1.26238,1.10169,1.0045,1.05408,1.01854,0.9124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.01999,1.08111,1.04887,1.28507,1.68779,1.65482,1.52427,1.5367,1.38851,1.42172,1.87905,1.54813,1.65587,1.7441,1.78914,1.75521,1.62998,1.51274,1.39919,1.24349,1.15172,1.18311,1.15292,1.04794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.01027,0.50064,0.65399,0.64908,0.85278,1.29023,1.32515,1.26948,1.33861,1.20512,1.26078,1.75069,1.42787,1.53992,1.62807,1.66674,1.62044,1.49753,1.38041,1.27368,1.12183,1.03468,1.07585,1.0522,0.96269,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.62339,-0.44679,0.03932,0.23053,0.25155,0.44783,0.91832,0.97827,0.93304,1.05236,0.94647,1.05812,1.61098,1.25673,1.39204,1.49745,1.53872,1.48969,1.35483,1.23423,1.1272,0.97408,0.89579,0.9422,0.92311,0.8449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
